date,hour,city,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20181227,17,Shanghai,36.0,17.0,13.0,36.0,31.0,6.0,6.0,24.0,22.0,56.0,71.0,57.0,70.0,0.42,0.43
20181227,17,Urumqi,212.0,162.0,124.0,181.0,148.0,10.0,17.0,58.0,59.0,20.0,39.0,19.0,20.0,1.93,1.9
20181227,17,Lanzhou,94.0,45.0,60.0,138.0,120.0,27.0,30.0,31.0,65.0,44.0,47.0,37.0,37.0,0.53,1.43
20181227,17,Beijing,54.0,8.0,10.0,58.0,49.0,4.0,4.0,12.0,19.0,50.0,57.0,52.0,56.0,0.36,0.44
20181227,17,Nanjing,50.0,24.0,12.0,50.0,28.0,6.0,6.0,33.0,24.0,39.0,71.0,45.0,64.0,0.46,0.41
20181227,17,Nanning,55.0,32.0,19.0,59.0,41.0,10.0,10.0,34.0,30.0,17.0,23.0,16.0,17.0,1.29,1.2
20181227,17,Nanchang,21.0,12.0,12.0,21.0,20.0,3.0,3.0,21.0,21.0,28.0,36.0,31.0,33.0,0.61,0.9
20181227,17,Hefei,45.0,21.0,16.0,45.0,24.0,3.0,2.0,28.0,21.0,41.0,54.0,43.0,54.0,0.49,0.42
20181227,17,Hohhot,26.0,5.0,5.0,26.0,31.0,9.0,11.0,12.0,14.0,54.0,61.0,56.0,59.0,0.65,0.63
20181227,17,Harbin,42.0,22.0,22.0,42.0,34.0,19.0,19.0,27.0,23.0,38.0,50.0,44.0,46.0,0.72,0.75
20181227,17,Tianjin,64.0,11.0,14.0,78.0,57.0,5.0,9.0,17.0,31.0,45.0,61.0,52.0,54.0,0.44,0.64
20181227,17,Taiyuan,115.0,31.0,57.0,179.0,134.0,23.0,40.0,31.0,53.0,36.0,41.0,34.0,34.0,0.9,1.27
20181227,17,Guangzhou,34.0,18.0,28.0,34.0,42.0,6.0,6.0,30.0,40.0,67.0,69.0,45.0,45.0,1.06,1.21
20181227,17,Chengdu,54.0,38.0,58.0,52.0,88.0,6.0,6.0,39.0,50.0,8.0,20.0,10.0,11.0,0.97,1.0
20181227,17,Lhasa,62.0,10.0,31.0,73.0,63.0,9.0,10.0,8.0,44.0,86.0,89.0,59.0,59.0,0.44,1.4
20181227,17,Kunming,42.0,11.0,19.0,42.0,45.0,14.0,16.0,22.0,38.0,74.0,78.0,62.0,62.0,0.58,0.9
20181227,17,Hangzhou,49.0,27.0,15.0,49.0,27.0,8.0,7.0,37.0,30.0,34.0,56.0,35.0,53.0,0.61,0.63
20181227,17,Wuhan,24.0,17.0,35.0,23.0,32.0,5.0,5.0,27.0,33.0,23.0,32.0,26.0,26.0,0.57,0.9
20181227,17,Shenyang,53.0,12.0,11.0,55.0,48.0,12.0,13.0,20.0,17.0,42.0,55.0,50.0,51.0,0.63,0.64
20181227,17,Jinan,62.0,25.0,31.0,74.0,74.0,12.0,11.0,31.0,41.0,44.0,49.0,37.0,38.0,0.62,0.66
20181227,17,Haikou,59.0,39.0,27.0,67.0,39.0,9.0,6.0,19.0,11.0,140.0,158.0,127.0,127.0,1.0,0.77
20181227,17,Shijiazhuang,54.0,27.0,48.0,57.0,99.0,8.0,8.0,33.0,35.0,40.0,54.0,48.0,49.0,0.68,1.01
20181227,17,Fuzhou,20.0,3.0,14.0,16.0,20.0,4.0,4.0,18.0,26.0,65.0,67.0,60.0,60.0,0.52,0.52
20181227,17,Xining,56.0,39.0,75.0,61.0,103.0,18.0,23.0,34.0,54.0,61.0,63.0,44.0,44.0,0.83,1.97
20181227,17,Xi'an,143.0,109.0,98.0,137.0,153.0,8.0,23.0,50.0,64.0,10.0,20.0,14.0,14.0,1.38,1.48
20181227,17,Guiyang,37.0,22.0,17.0,37.0,28.0,8.0,8.0,22.0,17.0,22.0,48.0,29.0,40.0,0.73,0.79
20181227,17,Zhengzhou,80.0,59.0,56.0,97.0,94.0,11.0,12.0,30.0,38.0,27.0,41.0,31.0,31.0,0.69,0.9
20181227,17,Chongqing,59.0,42.0,46.0,58.0,60.0,9.0,8.0,42.0,34.0,8.0,10.0,7.0,7.0,0.91,1.0
20181227,17,Yinchuan,60.0,21.0,21.0,70.0,111.0,17.0,10.0,21.0,14.0,49.0,59.0,51.0,55.0,0.94,0.82
20181227,17,Changchun,32.0,14.0,17.0,32.0,55.0,20.0,20.0,23.0,20.0,37.0,51.0,43.0,44.0,0.53,0.49
20181227,17,Changsha,66.0,48.0,81.0,,109.0,4.0,4.0,36.0,37.0,5.0,18.0,7.0,8.0,0.99,1.09
